backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
hubertL,ks,19,2,0,KS_ERR,0.064589,0.068484,0.003895,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,20,2,0,KS_ERR,0.064589,0.065563,0.000974,quants_1024/GPTQ/quants_tc1024_ks,38
hubertL,ks,21,2,0,KS_ERR,0.064589,0.069458,0.004869,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,22,2,0,KS_ERR,0.064589,0.071081,0.006491,quants_1024/GPTQ/quants_tc1024_ks,40
hubertL,ks,23,2,0,KS_ERR,0.064589,0.064589,0.0,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ic,0,2,0,IC_ERR,0.03691,0.040865,0.003955,quants_1024/GPTQ/quants_tc1024_ic,59
hubertL,ic,1,2,0,IC_ERR,0.03691,0.037965,0.001055,quants_1024/GPTQ/quants_tc1024_ic,57
hubertL,ic,2,2,0,IC_ERR,0.03691,0.035856,-0.001055,quants_1024/GPTQ/quants_tc1024_ic,57
hubertL,ic,3,2,0,IC_ERR,0.03691,0.038756,0.001846,quants_1024/GPTQ/quants_tc1024_ic,57
hubertL,ic,4,2,0,IC_ERR,0.03691,0.037701,0.000791,quants_1024/GPTQ/quants_tc1024_ic,57
hubertL,ic,5,2,0,IC_ERR,0.03691,0.038228,0.001318,quants_1024/GPTQ/quants_tc1024_ic,58
hubertL,ic,6,2,0,IC_ERR,0.03691,0.037701,0.000791,quants_1024/GPTQ/quants_tc1024_ic,56
hubertL,ic,7,2,0,IC_ERR,0.03691,0.036383,-0.000527,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,8,2,0,IC_ERR,0.03691,0.038228,0.001318,quants_1024/GPTQ/quants_tc1024_ic,53
hubertL,ic,9,2,0,IC_ERR,0.03691,0.037701,0.000791,quants_1024/GPTQ/quants_tc1024_ic,53
hubertL,ic,10,2,0,IC_ERR,0.03691,0.03691,0.0,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,11,2,0,IC_ERR,0.03691,0.039019,0.002109,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,12,2,0,IC_ERR,0.03691,0.037174,0.000264,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,13,2,0,IC_ERR,0.03691,0.03981,0.0029,quants_1024/GPTQ/quants_tc1024_ic,53
hubertL,ic,14,2,0,IC_ERR,0.03691,0.03981,0.0029,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,15,2,0,IC_ERR,0.03691,0.036646,-0.000264,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,16,2,0,IC_ERR,0.03691,0.037174,0.000264,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,17,2,0,IC_ERR,0.03691,0.038756,0.001846,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,18,2,0,IC_ERR,0.03691,0.039019,0.002109,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,19,2,0,IC_ERR,0.03691,0.038228,0.001318,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,20,2,0,IC_ERR,0.03691,0.038228,0.001318,quants_1024/GPTQ/quants_tc1024_ic,55
hubertL,ic,21,2,0,IC_ERR,0.03691,0.040337,0.003427,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,ic,22,2,0,IC_ERR,0.03691,0.039019,0.002109,quants_1024/GPTQ/quants_tc1024_ic,54
