backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
wavlmL,ks,23,2,0,KS_ERR,0.026615,0.026615,0.0,quants_1024/GPTQ/quants_tc1024_ks,67
wavlmL,ic,0,2,0,IC_ERR,0.011864,0.012391,0.000527,quants_1024/GPTQ/quants_tc1024_ic,90
wavlmL,ic,1,2,0,IC_ERR,0.011864,0.012391,0.000527,quants_1024/GPTQ/quants_tc1024_ic,91
wavlmL,ic,2,2,0,IC_ERR,0.011864,0.012919,0.001055,quants_1024/GPTQ/quants_tc1024_ic,91
wavlmL,ic,3,2,0,IC_ERR,0.011864,0.0116,-0.000264,quants_1024/GPTQ/quants_tc1024_ic,90
wavlmL,ic,4,2,0,IC_ERR,0.011864,0.013446,0.001582,quants_1024/GPTQ/quants_tc1024_ic,89
wavlmL,ic,5,2,0,IC_ERR,0.011864,0.012391,0.000527,quants_1024/GPTQ/quants_tc1024_ic,92
wavlmL,ic,6,2,0,IC_ERR,0.011864,0.013446,0.001582,quants_1024/GPTQ/quants_tc1024_ic,91
wavlmL,ic,7,2,0,IC_ERR,0.011864,0.013446,0.001582,quants_1024/GPTQ/quants_tc1024_ic,90
wavlmL,ic,8,2,0,IC_ERR,0.011864,0.013182,0.001318,quants_1024/GPTQ/quants_tc1024_ic,89
wavlmL,ic,9,2,0,IC_ERR,0.011864,0.010809,-0.001055,quants_1024/GPTQ/quants_tc1024_ic,91
wavlmL,ic,10,2,0,IC_ERR,0.011864,0.012919,0.001055,quants_1024/GPTQ/quants_tc1024_ic,91
wavlmL,ic,11,2,0,IC_ERR,0.011864,0.0145,0.002636,quants_1024/GPTQ/quants_tc1024_ic,91
wavlmL,ic,12,2,0,IC_ERR,0.011864,0.014237,0.002373,quants_1024/GPTQ/quants_tc1024_ic,90
wavlmL,ic,13,2,0,IC_ERR,0.011864,0.013446,0.001582,quants_1024/GPTQ/quants_tc1024_ic,93
wavlmL,ic,14,2,0,IC_ERR,0.011864,0.014764,0.0029,quants_1024/GPTQ/quants_tc1024_ic,93
wavlmL,ic,15,2,0,IC_ERR,0.011864,0.013973,0.002109,quants_1024/GPTQ/quants_tc1024_ic,94
wavlmL,ic,16,2,0,IC_ERR,0.011864,0.01661,0.004746,quants_1024/GPTQ/quants_tc1024_ic,94
wavlmL,ic,17,2,0,IC_ERR,0.011864,0.0145,0.002636,quants_1024/GPTQ/quants_tc1024_ic,95
wavlmL,ic,18,2,0,IC_ERR,0.011864,0.016873,0.005009,quants_1024/GPTQ/quants_tc1024_ic,95
wavlmL,ic,19,2,0,IC_ERR,0.011864,0.017137,0.005273,quants_1024/GPTQ/quants_tc1024_ic,94
wavlmL,ic,20,2,0,IC_ERR,0.011864,0.017664,0.0058,quants_1024/GPTQ/quants_tc1024_ic,94
wavlmL,ic,21,2,0,IC_ERR,0.011864,0.012655,0.000791,quants_1024/GPTQ/quants_tc1024_ic,95
wavlmL,ic,22,2,0,IC_ERR,0.011864,0.018719,0.006855,quants_1024/GPTQ/quants_tc1024_ic,94
wavlmL,ic,23,2,0,IC_ERR,0.011864,0.011864,0.0,quants_1024/GPTQ/quants_tc1024_ic,94
wavlmL,er,0,2,1,ER_ERR,0.35576,0.353917,-0.001843,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,1,2,1,ER_ERR,0.35576,0.352995,-0.002765,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,2,2,1,ER_ERR,0.35576,0.364055,0.008295,quants_1024/GPTQ/quants_tc1024_er_fold1,26
wavlmL,er,3,2,1,ER_ERR,0.35576,0.354839,-0.000922,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,4,2,1,ER_ERR,0.35576,0.362212,0.006452,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,5,2,1,ER_ERR,0.35576,0.353917,-0.001843,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,6,2,1,ER_ERR,0.35576,0.359447,0.003687,quants_1024/GPTQ/quants_tc1024_er_fold1,26
wavlmL,er,7,2,1,ER_ERR,0.35576,0.359447,0.003687,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,8,2,1,ER_ERR,0.35576,0.354839,-0.000922,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,9,2,1,ER_ERR,0.35576,0.35576,0.0,quants_1024/GPTQ/quants_tc1024_er_fold1,26
wavlmL,er,10,2,1,ER_ERR,0.35576,0.352995,-0.002765,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,11,2,1,ER_ERR,0.35576,0.363134,0.007373,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,12,2,1,ER_ERR,0.35576,0.351152,-0.004608,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,13,2,1,ER_ERR,0.35576,0.364977,0.009217,quants_1024/GPTQ/quants_tc1024_er_fold1,26
wavlmL,er,14,2,1,ER_ERR,0.35576,0.374194,0.018433,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,15,2,1,ER_ERR,0.35576,0.360369,0.004608,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,16,2,1,ER_ERR,0.35576,0.36129,0.00553,quants_1024/GPTQ/quants_tc1024_er_fold1,26
wavlmL,er,17,2,1,ER_ERR,0.35576,0.35023,-0.00553,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,18,2,1,ER_ERR,0.35576,0.367742,0.011982,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,19,2,1,ER_ERR,0.35576,0.356682,0.000922,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,20,2,1,ER_ERR,0.35576,0.365899,0.010138,quants_1024/GPTQ/quants_tc1024_er_fold1,26
wavlmL,er,21,2,1,ER_ERR,0.35576,0.358525,0.002765,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,22,2,1,ER_ERR,0.35576,0.341935,-0.013825,quants_1024/GPTQ/quants_tc1024_er_fold1,27
wavlmL,er,23,2,1,ER_ERR,0.35576,0.35576,0.0,quants_1024/GPTQ/quants_tc1024_er_fold1,26
wavlmL,er,0,2,2,ER_ERR,0.328446,0.328446,0.0,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,1,2,2,ER_ERR,0.328446,0.334311,0.005865,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,2,2,2,ER_ERR,0.328446,0.333333,0.004888,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,3,2,2,ER_ERR,0.328446,0.330401,0.001955,quants_1024/GPTQ/quants_tc1024_er_fold2,26
wavlmL,er,4,2,2,ER_ERR,0.328446,0.335288,0.006843,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,5,2,2,ER_ERR,0.328446,0.337243,0.008798,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,6,2,2,ER_ERR,0.328446,0.336266,0.00782,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,7,2,2,ER_ERR,0.328446,0.328446,0.0,quants_1024/GPTQ/quants_tc1024_er_fold2,26
wavlmL,er,8,2,2,ER_ERR,0.328446,0.324536,-0.00391,quants_1024/GPTQ/quants_tc1024_er_fold2,26
wavlmL,er,9,2,2,ER_ERR,0.328446,0.341153,0.012708,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,10,2,2,ER_ERR,0.328446,0.324536,-0.00391,quants_1024/GPTQ/quants_tc1024_er_fold2,26
wavlmL,er,11,2,2,ER_ERR,0.328446,0.333333,0.004888,quants_1024/GPTQ/quants_tc1024_er_fold2,26
wavlmL,er,12,2,2,ER_ERR,0.328446,0.332356,0.00391,quants_1024/GPTQ/quants_tc1024_er_fold2,26
wavlmL,er,13,2,2,ER_ERR,0.328446,0.331378,0.002933,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,14,2,2,ER_ERR,0.328446,0.329423,0.000978,quants_1024/GPTQ/quants_tc1024_er_fold2,25
