backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
wavlm,er,7,2,4,ER_ERR,0.374394,0.383123,0.008729,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,8,2,4,ER_ERR,0.374394,0.380213,0.00582,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,9,2,4,ER_ERR,0.374394,0.371484,-0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,10,2,4,ER_ERR,0.374394,0.370514,-0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,11,2,4,ER_ERR,0.374394,0.377304,0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,0,2,5,ER_ERR,0.357776,0.373892,0.016116,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,1,2,5,ER_ERR,0.357776,0.369863,0.012087,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,2,2,5,ER_ERR,0.357776,0.364222,0.006446,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,3,2,5,ER_ERR,0.357776,0.369057,0.011281,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,4,2,5,ER_ERR,0.357776,0.367446,0.00967,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,5,2,5,ER_ERR,0.357776,0.363417,0.005641,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,6,2,5,ER_ERR,0.357776,0.368251,0.010475,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,7,2,5,ER_ERR,0.357776,0.370669,0.012893,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,8,2,5,ER_ERR,0.357776,0.369863,0.012087,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,9,2,5,ER_ERR,0.357776,0.365834,0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,10,2,5,ER_ERR,0.357776,0.352135,-0.005641,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,11,2,5,ER_ERR,0.357776,0.356164,-0.001612,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,asv,0,2,0,EER,0.072269,0.073542,0.001273,quants_1024/GPTQ/quants_tc1024_asv,73
wavlm,asv,1,2,0,EER,0.072269,0.076352,0.004083,quants_1024/GPTQ/quants_tc1024_asv,72
wavlm,asv,2,2,0,EER,0.072269,0.082503,0.010233,quants_1024/GPTQ/quants_tc1024_asv,72
wavlm,asv,3,2,0,EER,0.072269,0.078049,0.005779,quants_1024/GPTQ/quants_tc1024_asv,72
wavlm,asv,4,2,0,EER,0.072269,0.076829,0.00456,quants_1024/GPTQ/quants_tc1024_asv,72
wavlm,asv,5,2,0,EER,0.072269,0.074231,0.001962,quants_1024/GPTQ/quants_tc1024_asv,71
wavlm,asv,6,2,0,EER,0.072269,0.073648,0.001379,quants_1024/GPTQ/quants_tc1024_asv,71
wavlm,asv,7,2,0,EER,0.072269,0.073383,0.001113,quants_1024/GPTQ/quants_tc1024_asv,71
wavlm,asv,8,2,0,EER,0.072269,0.073118,0.000848,quants_1024/GPTQ/quants_tc1024_asv,71
wavlm,asv,9,2,0,EER,0.072269,0.0728,0.00053,quants_1024/GPTQ/quants_tc1024_asv,71
wavlm,asv,10,2,0,EER,0.072269,0.071898,-0.000371,quants_1024/GPTQ/quants_tc1024_asv,72
wavlm,asv,11,2,0,EER,0.072269,0.071739,-0.00053,quants_1024/GPTQ/quants_tc1024_asv,72
